Country Name,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.57,6.79,7,7.22,7.43,7.65,7.66,7.67,7.67,7.68,7.69,7.5,7.31,7.12,6.93,6.74,6.88,7.03,7.17,..
Albania ,Prevalence of current tobacco use (% of adults),35,34.26,33.52,32.78,32.04,31.3,30.64,29.98,29.32,28.66,28,27.42,26.84,26.26,25.68,25.1,24.4,23.7,23,23
Algeria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.58,0.63,0.67,0.72,0.76,0.81,0.78,0.75,0.71,0.68,0.65,0.71,0.76,0.82,0.87,0.93,0.94,0.94,0.95,..
Algeria,Prevalence of current tobacco use (% of adults),22.2,22.12,22.04,21.96,21.88,21.8,21.74,21.68,21.62,21.56,21.5,21.42,21.34,21.26,21.18,21.1,21.07,21.03,21,21
Angola,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.76,3.19,3.61,4.04,4.46,4.89,5.54,6.2,6.85,7.51,8.16,8.12,8.08,8.04,8,7.96,7.62,7.28,6.94,..
Angola,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Antigua and Barbuda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.13,5.18,5.23,5.27,5.32,5.37,5.42,5.46,5.51,5.55,5.6,5.66,5.72,5.77,5.83,5.89,6.05,6.22,6.38,..
Antigua and Barbuda,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Argentina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.75,8.73,8.71,8.7,8.68,8.66,8.75,8.83,8.92,9,9.09,9.18,9.27,9.37,9.46,9.55,9.58,9.62,9.65,..
Argentina,Prevalence of current tobacco use (% of adults),34,33.5,33,32.5,32,31.5,30.98,30.46,29.94,29.42,28.9,28.44,27.98,27.52,27.06,26.6,26.03,25.47,24.9,24.9
Armenia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.23,4.54,4.85,5.17,5.48,5.79,5.77,5.75,5.73,5.71,5.69,5.72,5.75,5.78,5.81,5.84,5.74,5.65,5.55,..
Armenia,Prevalence of current tobacco use (% of adults),32,31.66,31.32,30.98,30.64,30.3,29.96,29.62,29.28,28.94,28.6,28.26,27.92,27.58,27.24,26.9,26.53,26.17,25.8,25.8
Aruba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Aruba,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Australia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.72,11.79,11.86,11.94,12.01,12.08,12.14,12.2,12.27,12.33,12.39,12.08,11.77,11.45,11.14,10.83,10.72,10.62,10.51,..
Australia,Prevalence of current tobacco use (% of adults),24.4,23.74,23.08,22.42,21.76,21.1,20.52,19.94,19.36,18.78,18.2,17.7,17.2,16.7,16.2,15.7,15.13,14.57,14,14
Austria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.12,13.05,12.99,12.92,12.86,12.79,12.67,12.55,12.44,12.32,12.2,12.17,12.15,12.12,12.1,12.07,12.03,12,11.96,..
Austria,Prevalence of current tobacco use (% of adults),52.3,50.6,48.9,47.2,45.5,43.8,42.46,41.12,39.78,38.44,37.1,35.92,34.74,33.56,32.38,31.2,29.83,28.47,27.1,27.1
Azerbaijan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.45,3.12,2.79,2.47,2.14,1.81,2.04,2.27,2.51,2.74,2.97,3.29,3.61,3.94,4.26,4.58,4.52,4.47,4.41,..
Azerbaijan,Prevalence of current tobacco use (% of adults),28.7,28.48,28.26,28.04,27.82,27.6,27.32,27.04,26.76,26.48,26.2,26,25.8,25.6,25.4,25.2,24.87,24.53,24.2,24.2
Bahamas,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.58,5.32,5.06,4.8,4.54,4.28,4.25,4.22,4.18,4.15,4.12,4.21,4.29,4.38,4.46,4.55,4.63,4.7,4.78,..
Bahamas,Prevalence of current tobacco use (% of adults),10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.68,10.66,10.64,10.62,10.6,10.63,10.67,10.7,10.7
Bahrain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.74,1.74,1.75,1.75,1.76,1.76,1.75,1.73,1.72,1.7,1.69,1.61,1.53,1.46,1.38,1.3,1.23,1.16,1.09,..
Bahrain,Prevalence of current tobacco use (% of adults),22.2,21.76,21.32,20.88,20.44,20,19.62,19.24,18.86,18.48,18.1,17.76,17.42,17.08,16.74,16.4,16,15.6,15.2,15.2
Bangladesh,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.22,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.1,0.08,0.05,0.02,0.02,0.02,0.02,..
Bangladesh,Prevalence of current tobacco use (% of adults),57.6,56.14,54.68,53.22,51.76,50.3,49.04,47.78,46.52,45.26,44,42.98,41.96,40.94,39.92,38.9,37.67,36.43,35.2,35.2
Barbados,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.11,7.17,7.23,7.28,7.34,7.4,7.51,7.62,7.73,7.84,7.95,8.23,8.5,8.78,9.05,9.33,9.45,9.57,9.69,..
Barbados,Prevalence of current tobacco use (% of adults),10.2,10.1,10,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.12,9.04,8.96,8.88,8.8,8.7,8.6,8.5,8.5
Belarus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15.17,15.2,15.22,15.25,15.27,15.3,15.73,16.15,16.58,17,17.43,16.34,15.26,14.17,13.09,12,11.82,11.63,11.45,..
Belarus,Prevalence of current tobacco use (% of adults),41.8,41.2,40.6,40,39.4,38.8,38.2,37.6,37,36.4,35.8,35.24,34.68,34.12,33.56,33,32.3,31.6,30.9,30.9
Belgium,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.49,12.62,12.75,12.87,13,13.13,12.78,12.44,12.09,11.75,11.4,11.48,11.57,11.65,11.74,11.82,11.57,11.33,11.08,..
Belgium,Prevalence of current tobacco use (% of adults),33.4,32.82,32.24,31.66,31.08,30.5,30,29.5,29,28.5,28,27.54,27.08,26.62,26.16,25.7,25.1,24.5,23.9,23.9
Belize,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.55,5.87,6.19,6.52,6.84,7.16,7.14,7.13,7.11,7.1,7.08,7.01,6.94,6.88,6.81,6.74,6.57,6.39,6.22,..
Belize,Prevalence of current tobacco use (% of adults),15,14.6,14.2,13.8,13.4,13,12.66,12.32,11.98,11.64,11.3,10.98,10.66,10.34,10.02,9.7,9.4,9.1,8.8,8.8
Benin,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.46,2.41,2.37,2.32,2.28,2.23,2.28,2.33,2.37,2.42,2.47,2.57,2.67,2.77,2.87,2.97,2.92,2.86,2.81,..
Benin,Prevalence of current tobacco use (% of adults),16.7,16.04,15.38,14.72,14.06,13.4,12.86,12.32,11.78,11.24,10.7,10.28,9.86,9.44,9.02,8.6,8.13,7.67,7.2,7.2
Bhutan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.77,2.54,2.3,2.07,1.83,1.6,1.46,1.33,1.19,1.06,0.92,0.82,0.72,0.62,0.52,0.42,0.42,0.43,0.43,..
Bhutan,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Bolivia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.44,3.63,3.81,4,4.18,4.37,4.61,4.85,5.08,5.32,5.56,5.38,5.19,5.01,4.82,4.64,4.57,4.5,4.43,..
Bolivia,Prevalence of current tobacco use (% of adults),32.1,30.66,29.22,27.78,26.34,24.9,23.82,22.74,21.66,20.58,19.5,18.72,17.94,17.16,16.38,15.6,14.8,14,13.2,13.2
Botswana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.05,9.16,9.27,9.39,9.5,9.61,9.41,9.21,9.02,8.82,8.62,8.27,7.92,7.56,7.21,6.86,6.77,6.68,6.59,..
Botswana,Prevalence of current tobacco use (% of adults),33.2,32.26,31.32,30.38,29.44,28.5,27.76,27.02,26.28,25.54,24.8,24.18,23.56,22.94,22.32,21.7,21.07,20.43,19.8,19.8
Brazil,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.78,8.69,8.6,8.5,8.41,8.32,8.35,8.39,8.42,8.46,8.49,8.36,8.24,8.11,7.99,7.86,7.71,7.57,7.42,..
Brazil,Prevalence of current tobacco use (% of adults),23.8,23.12,22.44,21.76,21.08,20.4,19.8,19.2,18.6,18,17.4,16.9,16.4,15.9,15.4,14.9,14.33,13.77,13.2,13.2
Brunei Darussalam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.23,0.22,0.22,0.21,0.21,0.27,0.33,0.39,0.45,0.51,0.5,0.49,0.48,0.47,0.46,0.47,0.47,0.48,..
Brunei Darussalam,Prevalence of current tobacco use (% of adults),16.7,16.66,16.62,16.58,16.54,16.5,16.48,16.46,16.44,16.42,16.4,16.38,16.36,16.34,16.32,16.3,16.27,16.23,16.2,16.2
Bulgaria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.8,11.72,11.65,11.57,11.5,11.42,11.4,11.38,11.36,11.34,11.32,11.52,11.73,11.93,12.14,12.34,12.44,12.55,12.65,..
Bulgaria,Prevalence of current tobacco use (% of adults),47.5,47,46.5,46,45.5,45,44.58,44.16,43.74,43.32,42.9,42.46,42.02,41.58,41.14,40.7,40.27,39.83,39.4,39.4
Burkina Faso,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.4,8.56,8.72,8.87,9.03,9.19,9.07,8.95,8.82,8.7,8.58,9.23,9.88,10.53,11.18,11.83,11.9,11.96,12.03,..
Burkina Faso,Prevalence of current tobacco use (% of adults),29.8,28.78,27.76,26.74,25.72,24.7,23.86,23.02,22.18,21.34,20.5,19.8,19.1,18.4,17.7,17,16.3,15.6,14.9,14.9
Burundi,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.82,9.54,9.27,8.99,8.72,8.44,8.28,8.13,7.97,7.82,7.66,7.53,7.41,7.28,7.16,7.03,7.08,7.14,7.19,..
Burundi,Prevalence of current tobacco use (% of adults),24,23.16,22.32,21.48,20.64,19.8,19.16,18.52,17.88,17.24,16.6,16.06,15.52,14.98,14.44,13.9,13.33,12.77,12.2,12.2
Cabo Verde,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.03,6.21,6.4,6.58,6.77,6.95,7.06,7.17,7.29,7.4,7.51,7.2,6.89,6.57,6.26,5.95,5.83,5.72,5.6,..
Cabo Verde,Prevalence of current tobacco use (% of adults),20.6,20.04,19.48,18.92,18.36,17.8,17.28,16.76,16.24,15.72,15.2,14.78,14.36,13.94,13.52,13.1,12.63,12.17,11.7,11.7
Cambodia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.87,2.03,2.2,2.36,2.53,2.69,3.13,3.58,4.02,4.47,4.91,5.2,5.49,5.79,6.08,6.37,6.46,6.55,6.64,..
Cambodia,Prevalence of current tobacco use (% of adults),42.3,41.04,39.78,38.52,37.26,36,34.82,33.64,32.46,31.28,30.1,29.12,28.14,27.16,26.18,25.2,24.1,23,21.9,21.9
Cameroon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.69,6.88,7.06,7.25,7.43,7.62,7.78,7.94,8.11,8.27,8.43,7.98,7.53,7.07,6.62,6.17,6,5.82,5.65,..
Cameroon,Prevalence of current tobacco use (% of adults),12.8,12.48,12.16,11.84,11.52,11.2,10.9,10.6,10.3,10,9.7,9.44,9.18,8.92,8.66,8.4,8.1,7.8,7.5,7.5
Canada,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,10.1,9.86,9.61,9.37,9.12,8.88,8.9,8.92,8.94,..
Canada,Prevalence of current tobacco use (% of adults),28.4,27.38,26.36,25.34,24.32,23.3,22.5,21.7,20.9,20.1,19.3,18.6,17.9,17.2,16.5,15.8,15.07,14.33,13.6,13.6
Central African Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.68,3.67,3.66,3.64,3.63,3.62,3.69,3.76,3.84,3.91,3.98,3.67,3.36,3.05,2.74,2.43,2.41,2.4,2.38,..
Central African Republic,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Chad,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.34,4.4,4.45,4.51,4.56,4.62,5.01,5.4,5.8,6.19,6.58,5.55,4.53,3.5,2.48,1.45,1.42,1.4,1.37,..
Chad,Prevalence of current tobacco use (% of adults),13.9,13.56,13.22,12.88,12.54,12.2,11.9,11.6,11.3,11,10.7,10.44,10.18,9.92,9.66,9.4,9.1,8.8,8.5,8.5
Chile,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.74,7.98,8.22,8.45,8.69,8.93,9.01,9.08,9.16,9.23,9.31,9.3,9.29,9.28,9.27,9.26,9.2,9.13,9.07,..
Chile,Prevalence of current tobacco use (% of adults),46.9,45.86,44.82,43.78,42.74,41.7,40.78,39.86,38.94,38.02,37.1,36.26,35.42,34.58,33.74,32.9,31.9,30.9,29.9,29.9
China,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.81,3.85,3.89,3.94,3.98,4.02,4.63,5.24,5.85,6.46,7.07,7.09,7.1,7.12,7.13,7.15,7.12,7.08,7.05,..
China,Prevalence of current tobacco use (% of adults),26.7,26.68,26.66,26.64,26.62,26.6,26.52,26.44,26.36,26.28,26.2,26.14,26.08,26.02,25.96,25.9,25.83,25.77,25.7,25.7
Colombia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.58,5.55,5.51,5.48,5.44,5.41,5.34,5.26,5.19,5.11,5.04,5.19,5.34,5.48,5.63,5.78,5.77,5.75,5.74,..
Colombia,Prevalence of current tobacco use (% of adults),15.1,14.72,14.34,13.96,13.58,13.2,12.84,12.48,12.12,11.76,11.4,11.1,10.8,10.5,10.2,9.9,9.53,9.17,8.8,8.8
Congo,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.45,3.51,3.57,3.63,3.69,3.75,4.23,4.72,5.2,5.69,6.17,6.52,6.86,7.21,7.55,7.9,8.36,8.81,9.27,..
Congo,Prevalence of current tobacco use (% of adults),11.9,11.96,12.02,12.08,12.14,12.2,12.32,12.44,12.56,12.68,12.8,12.94,13.08,13.22,13.36,13.5,13.77,14.03,14.3,14.3
Costa Rica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.55,5.52,5.5,5.47,5.45,5.42,5.3,5.17,5.05,4.92,4.8,4.79,4.78,4.78,4.77,4.76,4.8,4.83,4.87,..
Costa Rica,Prevalence of current tobacco use (% of adults),18,17.4,16.8,16.2,15.6,15,14.52,14.04,13.56,13.08,12.6,12.18,11.76,11.34,10.92,10.5,10.03,9.57,9.1,9.1
Côte d'Ivoire,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.25,6.46,5.67,4.88,4.09,3.3,3.15,2.99,2.84,2.68,2.53,2.55,2.56,2.58,2.59,2.61,2.64,2.68,2.71,..
Côte d'Ivoire,Prevalence of current tobacco use (% of adults),18.7,18.12,17.54,16.96,16.38,15.8,15.28,14.76,14.24,13.72,13.2,12.78,12.36,11.94,11.52,11.1,10.63,10.17,9.7,9.7
Croatia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.45,12.02,11.59,11.17,10.74,10.31,10.26,10.22,10.17,10.13,10.08,9.88,9.68,9.47,9.27,9.07,9.12,9.18,9.23,..
Croatia,Prevalence of current tobacco use (% of adults),34.4,34.5,34.6,34.7,34.8,34.9,35,35.1,35.2,35.3,35.4,35.54,35.68,35.82,35.96,36.1,36.3,36.5,36.7,36.7
Cuba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.98,5.06,5.13,5.21,5.28,5.36,5.29,5.22,5.16,5.09,5.02,5.15,5.28,5.41,5.54,5.67,5.72,5.78,5.83,..
Cuba,Prevalence of current tobacco use (% of adults),40.8,39.28,37.76,36.24,34.72,33.2,31.96,30.72,29.48,28.24,27,26,25,24,23,22,20.9,19.8,18.7,18.7
Cyprus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.86,11.17,11.49,11.8,12.12,12.43,12.21,12,11.78,11.57,11.35,11.23,11.11,11,10.88,10.76,10.78,10.79,10.81,..
Cyprus,Prevalence of current tobacco use (% of adults),40.9,40.56,40.22,39.88,39.54,39.2,38.9,38.6,38.3,38,37.7,37.44,37.18,36.92,36.66,36.4,36.1,35.8,35.5,35.5
Czechia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15,14.95,14.9,14.86,14.81,14.76,14.62,14.48,14.34,14.2,14.06,14.1,14.14,14.17,14.21,14.25,14.32,14.38,14.45,..
Czechia,Prevalence of current tobacco use (% of adults),34.2,34.04,33.88,33.72,33.56,33.4,33.18,32.96,32.74,32.52,32.3,32.12,31.94,31.76,31.58,31.4,31.23,31.07,30.9,30.9
Democratic Republic of the Congo,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.95,0.93,0.91,0.9,0.88,0.86,1.04,1.22,1.39,1.57,1.75,1.81,1.87,1.93,1.99,2.05,2.03,2.02,2,..
Democratic Republic of the Congo,Prevalence of current tobacco use (% of adults),18.8,18.42,18.04,17.66,17.28,16.9,16.6,16.3,16,15.7,15.4,15.12,14.84,14.56,14.28,14,13.67,13.33,13,13
Denmark,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.67,12.59,12.52,12.44,12.37,12.29,12.03,11.77,11.52,11.26,11,10.87,10.74,10.62,10.49,10.36,10.33,10.29,10.26,..
Denmark,Prevalence of current tobacco use (% of adults),37.3,36,34.7,33.4,32.1,30.8,29.74,28.68,27.62,26.56,25.5,24.62,23.74,22.86,21.98,21.1,20.1,19.1,18.1,18.1
Djibouti,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.62,1.55,1.48,1.42,1.35,1.28,1.16,1.04,0.91,0.79,0.67,0.63,0.6,0.56,0.53,0.49,0.47,0.45,0.43,..
Djibouti,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Dominican Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.19,6.98,6.77,6.57,6.36,6.15,6.14,6.13,6.13,6.12,6.11,6.21,6.31,6.41,6.51,6.61,6.63,6.66,6.68,..
Dominican Republic,Prevalence of current tobacco use (% of adults),18.7,18.18,17.66,17.14,16.62,16.1,15.66,15.22,14.78,14.34,13.9,13.56,13.22,12.88,12.54,12.2,11.77,11.33,10.9,10.9
Ecuador,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.96,5.93,5.9,5.87,5.84,5.81,5.88,5.95,6.02,6.09,6.16,5.92,5.69,5.45,5.22,4.98,4.72,4.46,4.2,..
Ecuador,Prevalence of current tobacco use (% of adults),18.4,17.96,17.52,17.08,16.64,16.2,15.86,15.52,15.18,14.84,14.5,14.16,13.82,13.48,13.14,12.8,12.4,12,11.6,11.6
Egypt,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.25,0.26,0.27,0.27,0.28,0.29,0.3,0.32,0.33,0.35,0.36,0.37,0.38,0.38,0.39,0.4,0.39,0.37,0.36,..
Egypt,Prevalence of current tobacco use (% of adults),24.3,24.26,24.22,24.18,24.14,24.1,24.14,24.18,24.22,24.26,24.3,24.3,24.3,24.3,24.3,24.3,24.33,24.37,24.4,24.4
El Salvador,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.86,3.85,3.84,3.82,3.81,3.8,3.7,3.6,3.51,3.41,3.31,3.37,3.42,3.48,3.53,3.59,3.69,3.79,3.89,..
El Salvador,Prevalence of current tobacco use (% of adults),15.9,15.4,14.9,14.4,13.9,13.4,12.98,12.56,12.14,11.72,11.3,10.94,10.58,10.22,9.86,9.5,9.1,8.7,8.3,8.3
Equatorial Guinea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.45,7.74,8.03,8.33,8.62,8.91,8.97,9.03,9.08,9.14,9.2,9.18,9.15,9.13,9.1,9.08,8.46,7.85,7.23,..
Equatorial Guinea,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Estonia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.57,10.79,12,13.22,14.43,15.65,15,14.35,13.69,13.04,12.39,12.39,12.39,12.39,12.39,12.39,11.34,10.28,9.23,..
Estonia,Prevalence of current tobacco use (% of adults),46,45.12,44.24,43.36,42.48,41.6,40.72,39.84,38.96,38.08,37.2,36.42,35.64,34.86,34.08,33.3,32.37,31.43,30.5,30.5
Eswatini,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.46,7.31,7.16,7.01,6.86,6.71,6.73,6.75,6.78,6.8,6.82,7.42,8.03,8.63,9.24,9.84,9.91,9.97,10.04,..
Eswatini,Prevalence of current tobacco use (% of adults),12.3,12.12,11.94,11.76,11.58,11.4,11.22,11.04,10.86,10.68,10.5,10.36,10.22,10.08,9.94,9.8,9.63,9.47,9.3,9.3
Ethiopia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.76,1.82,1.88,1.93,1.99,2.05,2.14,2.23,2.32,2.41,2.5,2.44,2.38,2.31,2.25,2.19,2.25,2.3,2.36,..
Ethiopia,Prevalence of current tobacco use (% of adults),6.8,6.7,6.6,6.5,6.4,6.3,6.22,6.14,6.06,5.98,5.9,5.82,5.74,5.66,5.58,5.5,5.4,5.3,5.2,5.2
Fiji,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.24,3.15,3.06,2.96,2.87,2.78,2.82,2.87,2.91,2.96,3,3.07,3.13,3.2,3.26,3.33,3.33,3.32,3.32,..
Fiji,Prevalence of current tobacco use (% of adults),32.3,31.78,31.26,30.74,30.22,29.7,29.24,28.78,28.32,27.86,27.4,26.94,26.48,26.02,25.56,25.1,24.53,23.97,23.4,23.4
Finland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.69,11.97,12.26,12.54,12.83,13.11,13.01,12.9,12.8,12.69,12.59,12.31,12.03,11.74,11.46,11.18,11.05,10.91,10.78,..
Finland,Prevalence of current tobacco use (% of adults),35.7,34.84,33.98,33.12,32.26,31.4,30.68,29.96,29.24,28.52,27.8,27.14,26.48,25.82,25.16,24.5,23.73,22.97,22.2,22.2
France,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.08,13.88,13.68,13.49,13.29,13.09,12.95,12.81,12.68,12.54,12.4,12.45,12.5,12.54,12.59,12.64,12.54,12.43,12.33,..
